"Машина 2010 года выпуска, была куплена в 2012 году","1 520 000 ₽","Acura","Acura ZDX Advance","Двигатель 3.7 бензиновый (300 л.с.)"
"Машина 2010 года выпуска, была куплена в 2013 году","1 750 000 ₽","Acura","Acura ZDX Turbo by GTT","Двигатель 3.7 бензиновый (450 л.с.)"
"Машина 1991 года выпуска, была куплена в 2011 году","$40,000","Acura","Acura NSX","Двигатель 3.0 бензиновый (274 л.с.)"
"Машина 2010 года выпуска, была куплена в 2017 году","1 249 999 ₽","Acura","Acura ZDX","Двигатель 3.7 бензиновый (300 л.с.)"
"Машина 2004 года выпуска, была куплена в 2016 году","600 000 ₽","Acura","Acura MDX ""Одиссей на стероидах""","Двигатель 3.5 бензиновый (269 л.с.)"
"Машина 2005 года выпуска, была куплена в 2015 году","$7,000","Acura","Acura RSX TypeS K20/K24 256hp290Nm","Двигатель 2.4 бензиновый (256 л.с.)"
"Машина 2007 года выпуска, была куплена в 2013 году","870 000 ₽","Acura","Acura MDX","Двигатель 3.7 бензиновый (304 л.с.)"
"Машина 2008 года выпуска, была куплена в 2015 году","1 050 000 ₽","Acura","Acura MDX в Приморье!","Двигатель 3.7 бензиновый (300 л.с.)"
"Машина 2005 года выпуска, была куплена в 2017 году","750 000 ₽","Acura","Acura RSX 2.4 iVTEC SuperCharged","Двигатель 2.4 бензиновый (360 л.с.)"
"Машина 2008 года выпуска, была куплена в 2016 году","1 000 000 ₽","Acura","Acura MDX","Двигатель 3.7 бензиновый (300 л.с.)"
"Машина 2007 года выпуска, была куплена в 2015 году","820 000 ₽","Acura","Acura RDX Tech '07 Carbon Jet","Двигатель 2.3 бензиновый (240 л.с.)"
"Машина 2007 года выпуска, была куплена в 2014 году","$12,000","Acura","Acura MDX Technology","Двигатель 3.7 бензиновый (306 л.с.)"
"Машина 2004 года выпуска, была куплена в 2018 году","320 000 ₽","Acura","Acura TSX","Двигатель 2.4 бензиновый (203 л.с.)"
"Машина 1997 года выпуска, была куплена в 2013 году","$1,000","Acura","Acura CL 2.2 SOHC VTEC","Двигатель 2.2 бензиновый (147 л.с.)"
"Машина 2008 года выпуска, была куплена в 2018 году","649 000 ₽","Acura","Acura RDX Машина пуля","Двигатель 2.4 бензиновый (243 л.с.)"
"Машина 2007 года выпуска, была куплена в 2012 году","670 000 ₽","Alfa Romeo","Alfa Romeo 159 Scuderia.Moscow","Двигатель 1.9 дизельный (190 л.с.)"
"Машина 2008 года выпуска, была куплена в 2014 году","750 000 ₽","Alfa Romeo","Alfa Romeo GT GTA 3.2% Жирности","Двигатель 3.2 бензиновый (240 л.с.)"
"Машина 2000 года выпуска, была куплена в 2012 году","470 000 ₽","Alfa Romeo","Alfa Romeo 156 🍀Sportwagon 3.0","Двигатель 3.0 бензиновый (220 л.с.)"
"Машина 2009 года выпуска, была куплена в 2015 году","1 200 000 ₽","Alfa Romeo","Alfa Romeo Brera Turismo Internazionale","Двигатель 1.8 бензиновый (242 л.с.)"
"Машина 2003 года выпуска, была куплена в 2009 году","$7,000","Alfa Romeo","Alfa Romeo 166","Двигатель 3.0 бензиновый (220 л.с.)"
"Машина 2007 года выпуска, была куплена в 2012 году","600 000 ₽","Alfa Romeo","Alfa Romeo 159 Sportwagon Sportwagon","Двигатель 1.9 дизельный (150 л.с.)"
"Машина 2004 года выпуска, была куплена в 2016 году","620 000 ₽","Alfa Romeo","Alfa Romeo GT LaCaramellka)","Двигатель 1.9 дизельный (170 л.с.)"
"Машина 2008 года выпуска, была куплена в 2012 году","310 000 ₽","Alfa Romeo","Alfa Romeo 147 88kw","Двигатель 1.6 бензиновый (120 л.с.)"
"Машина 1983 года выпуска, была куплена в 2010 году","465 000 ₽","Alfa Romeo","Alfa Romeo Alfetta почти gta autodelta","Двигатель 2.0 бензиновый (140 л.с.)"
"Машина 1989 года выпуска, была куплена в 2010 году","140 000 ₽","Alfa Romeo","Alfa Romeo 75 Rosso 130","Двигатель 1.6 бензиновый (110 л.с.)"
"Машина 2002 года выпуска, была куплена в 2013 году","$3,600","Alfa Romeo","Alfa Romeo 156 Rosso TI ▀▄▀▄","Двигатель 1.6 бензиновый (120 л.с.)"
"Машина 2003 года выпуска, была куплена в 2017 году","$6,000","Alfa Romeo","Alfa Romeo 156 2.4 JTDm","Двигатель 2.4 дизельный (175 л.с.)"
"Машина 2005 года выпуска, была куплена в 2014 году","320 000 ₽","Alfa Romeo","Alfa Romeo 156 JTS","Двигатель 2.0 бензиновый (166 л.с.)"
"Машина 1979 года выпуска, была куплена в 2014 году","$8,900","Alfa Romeo","Alfa Romeo Alfetta UA Project","Двигатель 1.8 бензиновый (129 л.с.)"
"Машина 1997 года выпуска, была куплена в 2017 году","$1,000","Alfa Romeo","Alfa Romeo 155 Super 2.0TS","Двигатель 2.0 бензиновый (155 л.с.)"
"Машина 2009 года выпуска, была куплена в 2018 году","$10,000","Alfa Romeo","Alfa Romeo Mi.To 1.4 T-Jet проект 300лс","Двигатель 1.4 бензиновый (155 л.с.)"
"Машина 2004 года выпуска, была куплена в 2016 году","360 000 ₽","Alfa Romeo","Alfa Romeo 147 Sportiva 2.0","Двигатель 2.0 бензиновый (150 л.с.)"
"Машина 2008 года выпуска, была куплена в 2014 году","500 000 ₽","Alfa Romeo","Alfa Romeo 159 Sportwagon черный боливар)))","Двигатель 1.9 дизельный (120 л.с.)"
"Машина 2001 года выпуска, была куплена в 2015 году","270 000 ₽","Alfa Romeo","Alfa Romeo 147 Bella Joppa","Двигатель 2.0 бензиновый (150 л.с.)"
"Машина 1999 года выпуска, была куплена в 2016 году","69 000 ₽","Alfa Romeo","Alfa Romeo 166 ""Zina Turbobenzina""","Двигатель 2.0 бензиновый (205 л.с.)"
"Машина 2005 года выпуска, была куплена в 2018 году","440 000 ₽","Alfa Romeo","Alfa Romeo GT","Двигатель 3.2 бензиновый (240 л.с.)"
"Машина 1997 года выпуска, была куплена в 2015 году","150 000 ₽","Alfa Romeo","Alfa Romeo 156 Italya","Двигатель 1.8 бензиновый (144 л.с.)"
"Машина 1997 года выпуска, была куплена в 2011 году","150 000 ₽","Alfa Romeo","Alfa Romeo 155","Двигатель 2.0 бензиновый (150 л.с.)"
"Машина 2008 года выпуска, была куплена в 2016 году","7 999 €","Alfa Romeo","Alfa Romeo 159 Sportwagon TI","Двигатель 2.4 дизельный (210 л.с.)"
"Машина 1992 года выпуска, была куплена в 2016 году","70 000 ₽","Alfa Romeo","Alfa Romeo 164","Двигатель 2.5 дизельный (125 л.с.)"
"Машина 2005 года выпуска, была куплена в этом году","$2,500","Alfa Romeo","Alfa Romeo GT","Двигатель 1.9 дизельный (165 л.с.)"
"Машина 2003 года выпуска, была куплена в 2015 году","210 000 ₽","Alfa Romeo","Alfa Romeo 147","Двигатель 1.6 бензиновый (105 л.с.)"
"Машина 1999 года выпуска, была куплена в 2010 году","$900","Alfa Romeo","Alfa Romeo 146","Двигатель 1.6 гибридный (120 л.с.)"
"Машина 1998 года выпуска, была куплена в 2013 году","3 500 000 ₽","Alpina","Alpina B12 5.7 № 116","Двигатель 5.7 бензиновый (387 л.с.)"
"Машина 2008 года выпуска, была куплена в 2017 году","1 100 000 ₽","Alpina","Alpina B3 Alpina b3 biturbo","Двигатель 3.0 бензиновый (360 л.с.)"
